store_id,item_id,dept_id,sell_price,annual_demand,holding_cost_annual,ordering_cost,eoq
0,0,0,2.24,281.487429275,0.44800000000000006,80,318
0,1,0,9.48,161.768303775,1.8960000000000001,80,117
0,2,0,3.23,307.123303175,0.646,80,276
0,3,0,1.96,719.2601409175,0.392,80,542
0,4,0,3.54,510.156136425,0.7080000000000001,80,340
0,5,0,2.4692857142857143,650.8224216,0.4938571428571429,80,460
0,6,0,3.54,129.25317300999998,0.7080000000000001,80,171
0,7,0,2.24,141.625469505,0.44800000000000006,80,225
0,8,0,5.64,99.4795277775,1.128,80,119
0,9,0,2.68,436.483678475,0.536,80,361
0,10,0,5.64,1173.973736,1.128,80,409
0,11,0,1.5,688.24402075,0.30000000000000004,80,606
0,12,0,0.98,570.0089021250001,0.196,80,683
0,13,0,3.48,266.42627765000003,0.6960000000000001,80,248
0,14,0,2.26,250.361559175,0.45199999999999996,80,298
0,15,0,2.24,324.19542220000005,0.44800000000000006,80,341
0,16,0,0.98,3183.673272,0.196,80,1613
0,17,0,0.98,1902.8786487749999,0.196,80,1247
0,18,0,2.68,427.5524877,0.536,80,358
0,19,0,0.98,1004.744713375,0.196,80,906
0,20,0,4.839999999999999,19.389082894999998,0.9679999999999999,80,57
0,21,0,5.64,70.08957491250001,1.128,80,100
0,22,0,4.86,167.847680325,0.9720000000000001,80,167
0,23,0,4.27,203.1576889225,0.854,80,196
0,24,0,6.98,104.33335570125,1.3960000000000001,80,110
0,25,0,1.96,435.65161016,0.392,80,422
0,26,0,2.98,158.6149917495,0.596,80,207
0,27,0,4.27,146.580261425,0.854,80,166
0,28,0,3.48,172.54807272300002,0.6960000000000001,80,200
0,29,0,3.54,464.52889600000003,0.7080000000000001,80,325
0,30,0,0.98,1186.789604,0.196,80,985
0,31,0,5.64,375.939572125,1.128,80,231
0,32,0,5.14,152.276617025,1.028,80,154
0,33,0,2.68,487.60841285000004,0.536,80,382
0,34,0,1.78,482.68147746000005,0.35600000000000004,80,466
0,35,0,3.48,497.41609059999996,0.6960000000000001,80,339
0,36,0,9.94,184.29536528,1.988,80,122
0,37,0,2.48,212.6324532475,0.496,80,262
0,38,0,1.78,749.4680690250001,0.35600000000000004,80,581
0,39,0,2.24,441.590573125,0.44800000000000006,80,398
0,40,0,0.98,1441.8120535,0.196,80,1085
0,41,0,1.96,763.7922948175,0.392,80,559
0,42,0,2.98,209.06643488900002,0.596,80,237
0,43,0,1.78,754.99918325,0.35600000000000004,80,583
0,44,0,0.98,2648.573135,0.196,80,1471
0,45,0,3.54,343.77377905,0.7080000000000001,80,279
0,46,0,5.98,135.5152142825,1.1960000000000002,80,135
0,47,0,2.24,288.13797155000003,0.44800000000000006,80,321
0,48,0,5.98,404.148791475,1.1960000000000002,80,233
0,49,0,3.87,364.60207052749996,0.774,80,275
0,50,0,0.98,463.11736640000004,0.196,80,615
0,51,0,5.237232142857143,74.1807149525,1.0474464285714287,80,107
0,52,0,1.98,578.351732075,0.396,80,484
0,53,0,4.38,709.434676353,0.876,80,360
0,54,0,2.24,119.709305989,0.44800000000000006,80,207
0,55,0,2.24,97.62660070800001,0.44800000000000006,80,187
0,56,0,1.96,468.10260198000003,0.392,80,438
0,57,0,4.89,213.38093517,0.978,80,187
0,58,0,1.68,410.275404825,0.336,80,443
0,59,0,2.24,524.43987765,0.44800000000000006,80,433
0,60,0,4.27,196.996423455,0.854,80,193
0,61,0,2.3642857142857143,217.77848995499997,0.47285714285714286,80,272
0,62,0,2.68,535.094300975,0.536,80,400
0,63,0,3.54,281.889088,0.7080000000000001,80,253
0,64,0,1.36,522.6743925,0.272,80,555
0,65,0,2.0,798.0285027,0.4,80,565
0,66,0,3.5800000000000005,72.8617157125,0.7160000000000002,80,128
0,67,0,2.68,396.70280766999997,0.536,80,345
0,68,0,0.98,200.562303305,0.196,80,405
0,69,0,2.0,531.472799325,0.4,80,462
0,70,0,5.28,15.653383265000002,1.056,80,49
