item_id,broad_dept_num,broad_dept_name,item_name_displayed
0,0,FOODS_1,FOODS_1_item_1
1,0,FOODS_1,FOODS_1_item_2
2,0,FOODS_1,FOODS_1_item_3
3,0,FOODS_1,FOODS_1_item_4
4,0,FOODS_1,FOODS_1_item_5
5,0,FOODS_1,FOODS_1_item_6
6,0,FOODS_1,FOODS_1_item_7
7,0,FOODS_1,FOODS_1_item_8
8,0,FOODS_1,FOODS_1_item_9
9,0,FOODS_1,FOODS_1_item_10
10,0,FOODS_1,FOODS_1_item_11
11,0,FOODS_1,FOODS_1_item_12
12,0,FOODS_1,FOODS_1_item_13
13,0,FOODS_1,FOODS_1_item_14
14,0,FOODS_1,FOODS_1_item_15
15,0,FOODS_1,FOODS_1_item_16
16,0,FOODS_1,FOODS_1_item_17
17,0,FOODS_1,FOODS_1_item_18
18,0,FOODS_1,FOODS_1_item_19
19,0,FOODS_1,FOODS_1_item_20
20,0,FOODS_1,FOODS_1_item_21
21,0,FOODS_1,FOODS_1_item_22
22,0,FOODS_1,FOODS_1_item_23
23,0,FOODS_1,FOODS_1_item_24
24,0,FOODS_1,FOODS_1_item_25
25,0,FOODS_1,FOODS_1_item_26
26,0,FOODS_1,FOODS_1_item_27
27,0,FOODS_1,FOODS_1_item_28
28,0,FOODS_1,FOODS_1_item_29
29,0,FOODS_1,FOODS_1_item_30
30,0,FOODS_1,FOODS_1_item_31
31,0,FOODS_1,FOODS_1_item_32
32,0,FOODS_1,FOODS_1_item_33
33,0,FOODS_1,FOODS_1_item_34
34,0,FOODS_1,FOODS_1_item_35
35,0,FOODS_1,FOODS_1_item_36
36,0,FOODS_1,FOODS_1_item_37
37,0,FOODS_1,FOODS_1_item_38
38,0,FOODS_1,FOODS_1_item_39
39,0,FOODS_1,FOODS_1_item_40
40,0,FOODS_1,FOODS_1_item_41
41,0,FOODS_1,FOODS_1_item_42
42,0,FOODS_1,FOODS_1_item_43
43,0,FOODS_1,FOODS_1_item_44
44,0,FOODS_1,FOODS_1_item_45
45,0,FOODS_1,FOODS_1_item_46
46,0,FOODS_1,FOODS_1_item_47
47,0,FOODS_1,FOODS_1_item_48
48,0,FOODS_1,FOODS_1_item_49
49,0,FOODS_1,FOODS_1_item_50
50,0,FOODS_1,FOODS_1_item_51
51,0,FOODS_1,FOODS_1_item_52
52,0,FOODS_1,FOODS_1_item_53
53,0,FOODS_1,FOODS_1_item_54
54,0,FOODS_1,FOODS_1_item_55
55,0,FOODS_1,FOODS_1_item_56
56,0,FOODS_1,FOODS_1_item_57
57,0,FOODS_1,FOODS_1_item_58
58,0,FOODS_1,FOODS_1_item_59
59,0,FOODS_1,FOODS_1_item_60
60,0,FOODS_1,FOODS_1_item_61
61,0,FOODS_1,FOODS_1_item_62
62,0,FOODS_1,FOODS_1_item_63
63,0,FOODS_1,FOODS_1_item_64
64,0,FOODS_1,FOODS_1_item_65
65,0,FOODS_1,FOODS_1_item_66
66,0,FOODS_1,FOODS_1_item_67
67,0,FOODS_1,FOODS_1_item_68
68,0,FOODS_1,FOODS_1_item_69
69,0,FOODS_1,FOODS_1_item_70
70,0,FOODS_1,FOODS_1_item_71
71,0,FOODS_1,FOODS_1_item_72
72,0,FOODS_1,FOODS_1_item_73
73,0,FOODS_1,FOODS_1_item_74
74,0,FOODS_1,FOODS_1_item_75
75,0,FOODS_1,FOODS_1_item_76
76,0,FOODS_1,FOODS_1_item_77
77,0,FOODS_1,FOODS_1_item_78
78,0,FOODS_1,FOODS_1_item_79
